CLB1 RESOURCE22613
CLB10 RESOURCE7567
CLB100 RESOURCE12076
CLB1000 RESOURCE44198
CLB10000 RESOURCE26459
CLB10001 RESOURCE18566
CLB10002 RESOURCE54979
CLB10003 RESOURCE32063
CLB10004 RESOURCE39829
CLB10005 RESOURCE28098
CLB10006 RESOURCE26230
CLB10007 RESOURCE28056
CLB10008 RESOURCE20512
CLB10009 RESOURCE46424
CLB1001 RESOURCE53176
CLB10010 RESOURCE46088
CLB10011 RESOURCE65061
CLB10012 RESOURCE14242
CLB10013 RESOURCE16769
CLB10014 RESOURCE2913
CLB10015 RESOURCE34923
CLB10016 RESOURCE42661
CLB10017 RESOURCE21055
CLB10018 RESOURCE9477
CLB10019 RESOURCE9480
CLB1002 RESOURCE21088
CLB10020 RESOURCE63654
CLB10021 RESOURCE10980
CLB10022 RESOURCE46230
CLB10023 RESOURCE17994
CLB10024 RESOURCE67017
CLB10025 RESOURCE17685
CLB10026 RESOURCE37443
CLB10027 RESOURCE32009
CLB10028 RESOURCE63716
CLB10029 RESOURCE31663
CLB1003 RESOURCE25454
CLB10030 RESOURCE15628
CLB10031 RESOURCE39898
CLB10032 RESOURCE65589
CLB10033 RESOURCE24425
CLB10034 RESOURCE35183
CLB10035 RESOURCE37456
CLB10036 RESOURCE22534
CLB10037 RESOURCE19712
CLB10038 RESOURCE63785
CLB10039 RESOURCE28657
CLB1004 RESOURCE19924
CLB10040 RESOURCE46013
CLB10041 RESOURCE34687
CLB10042 RESOURCE66928
CLB10043 RESOURCE39308
CLB10044 RESOURCE25191
CLB10045 RESOURCE35535
CLB10046 RESOURCE41469
CLB10047 RESOURCE18116
CLB10048 RESOURCE17513
CLB10049 RESOURCE54641
CLB1005 RESOURCE59378
CLB10050 RESOURCE25867
CLB10051 RESOURCE36867
CLB10052 RESOURCE54759
CLB10053 RESOURCE45984
CLB10054 RESOURCE42576
CLB10055 RESOURCE46590
CLB10056 RESOURCE36869
CLB10057 RESOURCE67667
CLB10058 RESOURCE57345
CLB10059 RESOURCE22590
CLB1006 RESOURCE19782
CLB10060 RESOURCE2645
CLB10061 RESOURCE38218
CLB10062 RESOURCE61682
CLB10063 RESOURCE13097
CLB10064 RESOURCE8505
CLB10065 RESOURCE31969
CLB10066 RESOURCE52937
CLB10067 RESOURCE50656
CLB10068 RESOURCE18366
CLB10069 RESOURCE3206
CLB1007 RESOURCE1070
CLB10070 RESOURCE5007
CLB10071 RESOURCE56921
CLB10072 RESOURCE53785
CLB10073 RESOURCE34025
CLB10074 RESOURCE14022
CLB10075 RESOURCE54556
CLB10076 RESOURCE32497
CLB10077 RESOURCE66961
CLB10078 RESOURCE8406
CLB10079 RESOURCE18387
CLB1008 RESOURCE28987
CLB10080 RESOURCE60655
CLB10081 RESOURCE1628
CLB10082 RESOURCE55460
CLB10083 RESOURCE9979
CLB10084 RESOURCE36425
CLB10085 RESOURCE17186
CLB10086 RESOURCE517
CLB10087 RESOURCE48705
CLB10088 RESOURCE4261
CLB10089 RESOURCE25157
CLB1009 RESOURCE9905
CLB10090 RESOURCE38004
CLB10091 RESOURCE60986
CLB10092 RESOURCE69441
CLB10093 RESOURCE10655
CLB10094 RESOURCE47938
CLB10095 RESOURCE5101
CLB10096 RESOURCE61502
CLB10097 RESOURCE34085
CLB10098 RESOURCE34114
CLB10099 RESOURCE62555
CLB101 RESOURCE9109
CLB1010 RESOURCE21041
CLB10100 RESOURCE17558
CLB10101 RESOURCE7091
CLB10102 RESOURCE27444
CLB10103 RESOURCE16513
CLB10104 RESOURCE8943
CLB10105 RESOURCE18220
CLB10106 RESOURCE43503
CLB10107 RESOURCE48998
CLB10108 RESOURCE62487
CLB10109 RESOURCE54486
CLB1011 RESOURCE12989
CLB10110 RESOURCE19422
CLB10111 RESOURCE12803
CLB10112 RESOURCE38088
CLB10113 RESOURCE10562
CLB10114 RESOURCE4117
CLB10115 RESOURCE14596
CLB10116 RESOURCE34681
CLB10117 RESOURCE502
CLB10118 RESOURCE9962
CLB10119 RESOURCE12656
CLB1012 RESOURCE48573
CLB10120 RESOURCE28029
CLB10121 RESOURCE16607
CLB10122 RESOURCE41984
CLB10123 RESOURCE249
