CLB1 RESOURCE6613
CLB10 RESOURCE6604
CLB100 RESOURCE11593
CLB1000 RESOURCE69026
CLB10000 RESOURCE20639
CLB10001 RESOURCE33084
CLB10002 RESOURCE52534
CLB10003 RESOURCE38585
CLB10004 RESOURCE32668
CLB10005 RESOURCE7533
CLB10006 RESOURCE55927
CLB10007 RESOURCE49538
CLB10008 RESOURCE34106
CLB10009 RESOURCE32199
CLB1001 RESOURCE69506
CLB10010 RESOURCE32232
CLB10011 RESOURCE40481
CLB10012 RESOURCE18602
CLB10013 RESOURCE11586
CLB10014 RESOURCE22057
CLB10015 RESOURCE34147
CLB10016 RESOURCE49576
CLB10017 RESOURCE59516
CLB10018 RESOURCE51033
CLB10019 RESOURCE47227
CLB1002 RESOURCE61143
CLB10020 RESOURCE47178
CLB10021 RESOURCE47096
CLB10022 RESOURCE38646
CLB10023 RESOURCE56421
CLB10024 RESOURCE56420
CLB10025 RESOURCE34146
CLB10026 RESOURCE25980
CLB10027 RESOURCE35078
CLB10028 RESOURCE48544
CLB10029 RESOURCE43127
CLB1003 RESOURCE69500
CLB10030 RESOURCE51983
CLB10031 RESOURCE64566
CLB10032 RESOURCE12734
CLB10033 RESOURCE51972
CLB10034 RESOURCE48031
CLB10035 RESOURCE49097
CLB10036 RESOURCE52980
CLB10037 RESOURCE59536
CLB10038 RESOURCE27484
CLB10039 RESOURCE40458
CLB1004 RESOURCE61145
CLB10040 RESOURCE41020
CLB10041 RESOURCE42528
CLB10042 RESOURCE35585
CLB10043 RESOURCE48087
CLB10044 RESOURCE31146
CLB10045 RESOURCE16637
CLB10046 RESOURCE27597
CLB10047 RESOURCE46595
CLB10048 RESOURCE51030
CLB10049 RESOURCE54473
CLB1005 RESOURCE50107
CLB10050 RESOURCE24203
CLB10051 RESOURCE21098
CLB10052 RESOURCE30228
CLB10053 RESOURCE21563
CLB10054 RESOURCE37600
CLB10055 RESOURCE40002
CLB10056 RESOURCE28167
CLB10057 RESOURCE34625
CLB10058 RESOURCE34139
CLB10059 RESOURCE29159
CLB1006 RESOURCE51057
CLB10060 RESOURCE15703
CLB10061 RESOURCE41446
CLB10062 RESOURCE33116
CLB10063 RESOURCE40015
CLB10064 RESOURCE28228
CLB10065 RESOURCE32591
CLB10066 RESOURCE28275
CLB10067 RESOURCE49676
CLB10068 RESOURCE30232
CLB10069 RESOURCE43175
CLB1007 RESOURCE62688
CLB10070 RESOURCE33076
CLB10071 RESOURCE48539
CLB10072 RESOURCE11549
CLB10073 RESOURCE39552
CLB10074 RESOURCE37680
CLB10075 RESOURCE31286
CLB10076 RESOURCE33546
CLB10077 RESOURCE25961
CLB10078 RESOURCE34589
CLB10079 RESOURCE23623
CLB1008 RESOURCE66119
CLB10080 RESOURCE29762
CLB10081 RESOURCE33606
CLB10082 RESOURCE44149
CLB10083 RESOURCE48541
CLB10084 RESOURCE27547
CLB10085 RESOURCE34077
CLB10086 RESOURCE34069
CLB10087 RESOURCE13643
CLB10088 RESOURCE31177
CLB10089 RESOURCE58129
CLB1009 RESOURCE66622
CLB10090 RESOURCE33563
CLB10091 RESOURCE38551
CLB10092 RESOURCE21087
CLB10093 RESOURCE30700
CLB10094 RESOURCE42554
CLB10095 RESOURCE42545
CLB10096 RESOURCE8012
CLB10097 RESOURCE23143
CLB10098 RESOURCE30657
CLB10099 RESOURCE49632
CLB101 RESOURCE29161
CLB1010 RESOURCE66621
CLB10100 RESOURCE40564
CLB10101 RESOURCE40409
CLB10102 RESOURCE49579
CLB10103 RESOURCE18594
CLB10104 RESOURCE29154
CLB10105 RESOURCE46155
CLB10106 RESOURCE42027
CLB10107 RESOURCE39488
CLB10108 RESOURCE33584
CLB10109 RESOURCE30173
CLB1011 RESOURCE66139
CLB10110 RESOURCE35067
CLB10111 RESOURCE68988
CLB10112 RESOURCE53940
CLB10113 RESOURCE55856
CLB10114 RESOURCE58573
CLB10115 RESOURCE39547
CLB10116 RESOURCE36576
CLB10117 RESOURCE6137
CLB10118 RESOURCE38095
CLB10119 RESOURCE15306
CLB1012 RESOURCE48559
CLB10120 RESOURCE32622
CLB10121 RESOURCE6089
CLB10122 RESOURCE14195
CLB10123 RESOURCE39517
CLB10124 RESOURCE57422
CLB10125 RESOURCE35115
CLB10126 RESOURCE28201
CLB10127 RESOURCE21114
CLB10128 RESOURCE47619
CLB10129 RESOURCE33497
CLB1013 RESOURCE68061
CLB10130 RESOURCE47559
CLB10131 RESOURCE20603
CLB10132 RESOURCE17135
