CLB1 RESOURCE38899
CLB10 RESOURCE39375
CLB100 RESOURCE26320
CLB1000 RESOURCE28980
CLB10000 RESOURCE54966
CLB10001 RESOURCE50068
CLB10002 RESOURCE45663
CLB10003 RESOURCE49589
CLB10004 RESOURCE46144
CLB10005 RESOURCE45664
CLB10006 RESOURCE40477
CLB10007 RESOURCE40478
CLB10008 RESOURCE39517
CLB10009 RESOURCE42495
CLB1001 RESOURCE43473
CLB10010 RESOURCE42017
CLB10011 RESOURCE42493
CLB10012 RESOURCE41438
CLB10013 RESOURCE43647
CLB10014 RESOURCE44127
CLB10015 RESOURCE43645
CLB10016 RESOURCE43650
CLB10017 RESOURCE46035
CLB10018 RESOURCE43167
CLB10019 RESOURCE40960
CLB1002 RESOURCE43474
CLB10020 RESOURCE39519
CLB10021 RESOURCE44703
CLB10022 RESOURCE44704
CLB10023 RESOURCE43169
CLB10024 RESOURCE45184
CLB10025 RESOURCE40479
CLB10026 RESOURCE39516
CLB10027 RESOURCE39036
CLB10028 RESOURCE40961
CLB10029 RESOURCE44705
CLB1003 RESOURCE40306
CLB10030 RESOURCE43651
CLB10031 RESOURCE44707
CLB10032 RESOURCE41440
CLB10033 RESOURCE44706
CLB10034 RESOURCE44708
CLB10035 RESOURCE46145
CLB10036 RESOURCE39035
CLB10037 RESOURCE41432
CLB10038 RESOURCE42498
CLB10039 RESOURCE44132
CLB1004 RESOURCE41842
CLB10040 RESOURCE39520
CLB10041 RESOURCE38077
CLB10042 RESOURCE40471
CLB10043 RESOURCE40481
CLB10044 RESOURCE39990
CLB10045 RESOURCE37598
CLB10046 RESOURCE41429
CLB10047 RESOURCE39041
CLB10048 RESOURCE36540
CLB10049 RESOURCE43538
CLB1005 RESOURCE42323
CLB10050 RESOURCE46625
CLB10051 RESOURCE46146
CLB10052 RESOURCE45187
CLB10053 RESOURCE43172
CLB10054 RESOURCE46147
CLB10055 RESOURCE40002
CLB10056 RESOURCE42488
CLB10057 RESOURCE36061
CLB10058 RESOURCE40003
CLB10059 RESOURCE42010
CLB1006 RESOURCE63481
CLB10060 RESOURCE42009
CLB10061 RESOURCE37600
CLB10062 RESOURCE35581
CLB10063 RESOURCE36062
CLB10064 RESOURCE47586
CLB10065 RESOURCE43641
CLB10066 RESOURCE44702
CLB10067 RESOURCE47587
CLB10068 RESOURCE37601
CLB10069 RESOURCE45075
CLB1007 RESOURCE44529
CLB10070 RESOURCE38082
CLB10071 RESOURCE39512
CLB10072 RESOURCE40473
CLB10073 RESOURCE40474
CLB10074 RESOURCE35582
CLB10075 RESOURCE43537
CLB10076 RESOURCE44593
CLB10077 RESOURCE42501
CLB10078 RESOURCE44709
CLB10079 RESOURCE40485
CLB1008 RESOURCE44530
CLB10080 RESOURCE48066
CLB10081 RESOURCE44592
CLB10082 RESOURCE39509
CLB10083 RESOURCE42007
CLB10084 RESOURCE44019
CLB10085 RESOURCE35103
CLB10086 RESOURCE36064
CLB10087 RESOURCE46516
CLB10088 RESOURCE41906
CLB10089 RESOURCE45189
CLB1009 RESOURCE43954
CLB10090 RESOURCE45190
CLB10091 RESOURCE43058
CLB10092 RESOURCE46629
CLB10093 RESOURCE47108
CLB10094 RESOURCE48545
CLB10095 RESOURCE48067
CLB10096 RESOURCE44710
CLB10097 RESOURCE48068
CLB10098 RESOURCE43174
CLB10099 RESOURCE42387
CLB101 RESOURCE24397
CLB1010 RESOURCE42996
CLB10100 RESOURCE49122
CLB10101 RESOURCE48549
CLB10102 RESOURCE49602
CLB10103 RESOURCE44135
CLB10104 RESOURCE43541
CLB10105 RESOURCE49604
CLB10106 RESOURCE49605
CLB10107 RESOURCE50083
CLB10108 RESOURCE51521
CLB10109 RESOURCE49126
CLB1011 RESOURCE63000
CLB10110 RESOURCE50085
CLB10111 RESOURCE43656
CLB10112 RESOURCE49606
CLB10113 RESOURCE50565
CLB10114 RESOURCE50087
CLB10115 RESOURCE50566
CLB10116 RESOURCE51045
CLB10117 RESOURCE46621
CLB10118 RESOURCE43056
CLB10119 RESOURCE43542
CLB1012 RESOURCE44531
CLB10120 RESOURCE42388
CLB10121 RESOURCE52001
CLB10122 RESOURCE51523
CLB10123 RESOURCE51046
CLB10124 RESOURCE50568
CLB10125 RESOURCE51525
CLB10126 RESOURCE51527
CLB10127 RESOURCE52575
CLB10128 RESOURCE49128
CLB10129 RESOURCE51529
CLB1013 RESOURCE43955
CLB10130 RESOURCE51530
CLB10131 RESOURCE52005
CLB10132 RESOURCE51528
CLB10133 RESOURCE52582
CLB10134 RESOURCE55944
CLB10135 RESOURCE54504
CLB10136 RESOURCE57478
CLB10137 RESOURCE41908
CLB10138 RESOURCE57479
CLB10139 RESOURCE52010
CLB1014 RESOURCE45010
CLB10140 RESOURCE54023
CLB10141 RESOURCE55462
CLB10142 RESOURCE52586
CLB10143 RESOURCE52581
CLB10144 RESOURCE52580
CLB10145 RESOURCE53061
CLB10146 RESOURCE56997
CLB10147 RESOURCE55464
CLB10148 RESOURCE53060
CLB10149 RESOURCE53058
CLB1015 RESOURCE42997
CLB10150 RESOURCE52585
CLB10151 RESOURCE52588
CLB10152 RESOURCE43654
CLB10153 RESOURCE43653
CLB10154 RESOURCE42506
CLB10155 RESOURCE53062
CLB10156 RESOURCE57001
CLB10157 RESOURCE53544
CLB10158 RESOURCE53545
CLB10159 RESOURCE53542
CLB1016 RESOURCE44532
CLB10160 RESOURCE54022
CLB10161 RESOURCE56422
CLB10162 RESOURCE54025
CLB10163 RESOURCE53546
CLB10164 RESOURCE54503
CLB10165 RESOURCE52578
CLB10166 RESOURCE56423
CLB10167 RESOURCE53539
CLB10168 RESOURCE53537
CLB10169 RESOURCE41321
CLB1017 RESOURCE44533
CLB10170 RESOURCE53057
CLB10171 RESOURCE54982
CLB10172 RESOURCE49125
CLB10173 RESOURCE54980
CLB10174 RESOURCE53548
CLB10175 RESOURCE52576
CLB10176 RESOURCE52574
CLB10177 RESOURCE54498
CLB10178 RESOURCE54979
CLB10179 RESOURCE53535
CLB1018 RESOURCE42324
CLB10180 RESOURCE54988
CLB10181 RESOURCE55467
CLB10182 RESOURCE40843
CLB10183 RESOURCE52590
CLB10184 RESOURCE54509
CLB10185 RESOURCE54024
CLB10186 RESOURCE54977
CLB10187 RESOURCE56425
CLB10188 RESOURCE53534
CLB10189 RESOURCE53533
CLB1019 RESOURCE40307
CLB10190 RESOURCE55946
CLB10191 RESOURCE56420
CLB10192 RESOURCE57475
CLB10193 RESOURCE54976
CLB10194 RESOURCE55457
CLB10195 RESOURCE55936
CLB10196 RESOURCE55934
CLB10197 RESOURCE54494
CLB10198 RESOURCE55460
CLB10199 RESOURCE54016
CLB102 RESOURCE23916
CLB1020 RESOURCE41268
CLB10200 RESOURCE54014
CLB10201 RESOURCE54013
CLB10202 RESOURCE56418
CLB10203 RESOURCE55456
CLB10204 RESOURCE56995
CLB10205 RESOURCE55455
CLB10206 RESOURCE56417
CLB10207 RESOURCE55945
CLB10208 RESOURCE55935
CLB10209 RESOURCE56993
CLB1021 RESOURCE41269
CLB10210 RESOURCE55454
CLB10211 RESOURCE56424
CLB10212 RESOURCE54012
CLB10213 RESOURCE56990
CLB10214 RESOURCE55453
CLB10215 RESOURCE58146
CLB10216 RESOURCE53541
CLB10217 RESOURCE54986
CLB10218 RESOURCE54971
CLB10219 RESOURCE55933
CLB1022 RESOURCE42326
CLB10220 RESOURCE55450
CLB10221 RESOURCE54028
CLB10222 RESOURCE56413
CLB10223 RESOURCE54496
CLB10224 RESOURCE42381
CLB10225 RESOURCE51520
CLB10226 RESOURCE51040
CLB10227 RESOURCE56412
CLB10228 RESOURCE52592
CLB10229 RESOURCE54029
CLB1023 RESOURCE38385
CLB10230 RESOURCE54508
CLB10231 RESOURCE55949
CLB10232 RESOURCE56429
CLB10233 RESOURCE57005
CLB10234 RESOURCE57004
CLB10235 RESOURCE57483
CLB10236 RESOURCE57484
CLB10237 RESOURCE57477
CLB10238 RESOURCE58154
CLB10239 RESOURCE58150
CLB1024 RESOURCE37424
CLB10240 RESOURCE58155
CLB10241 RESOURCE58151
CLB10242 RESOURCE58637
CLB10243 RESOURCE58630
CLB10244 RESOURCE58147
CLB10245 RESOURCE42027
CLB10246 RESOURCE44020
CLB10247 RESOURCE58148
CLB10248 RESOURCE59117
CLB10249 RESOURCE56988
CLB1025 RESOURCE63958
CLB10250 RESOURCE59114
CLB10251 RESOURCE59597
CLB10252 RESOURCE51050
CLB10253 RESOURCE59112
CLB10254 RESOURCE58629
CLB10255 RESOURCE59109
CLB10256 RESOURCE59592
CLB10257 RESOURCE59596
