====================== Running testcase 1 ======================
rm -f legalizer
g++ -std=c++17 -O3 -Wall -Wextra main.cpp -o legalizer
./legalizer ./input/testcase1/architecture.txt ./input/testcase1/instance.txt ./input/testcase1/netlist.txt ./output/output1.txt
T: 999900000, bestHPWL: 16272
T: 992626900, bestHPWL: 16138
T: 959635000, bestHPWL: 15680.5
T: 943458200, bestHPWL: 15662.5
T: 923481600, bestHPWL: 15607.5
T: 917865200, bestHPWL: 15589.5
T: 915207100, bestHPWL: 15589.5
T: 914292300, bestHPWL: 15589.5
T: 907641900, bestHPWL: 15570.5
T: 892163100, bestHPWL: 15565.5
T: 877913500, bestHPWL: 15273.5
T: 875021000, bestHPWL: 15273.5
T: 870395400, bestHPWL: 15141.5
T: 859840500, bestHPWL: 15005.5
T: 857264700, bestHPWL: 15003.5
T: 853842300, bestHPWL: 15003.5
T: 829103400, bestHPWL: 14964.5
T: 828357500, bestHPWL: 14964.5
T: 824885500, bestHPWL: 14964.5
T: 817249200, bestHPWL: 14888
T: 810250600, bestHPWL: 14814
T: 809197900, bestHPWL: 14814
T: 808712500, bestHPWL: 14814
T: 781598800, bestHPWL: 14627
T: 777933700, bestHPWL: 14492
T: 776534600, bestHPWL: 14492
T: 776379300, bestHPWL: 14492
T: 770423800, bestHPWL: 14492
T: 762910100, bestHPWL: 14492
T: 754412700, bestHPWL: 14484
T: 751927100, bestHPWL: 14484
T: 734388400, bestHPWL: 14484
T: 731529700, bestHPWL: 14484
T: 728172200, bestHPWL: 14484
T: 724105600, bestHPWL: 14477
T: 709128000, bestHPWL: 14351.5
T: 699198900, bestHPWL: 14351.5
T: 697313500, bestHPWL: 14344.5
T: 690029600, bestHPWL: 14337.5
T: 689891600, bestHPWL: 14337.5
T: 682753500, bestHPWL: 14337.5
T: 679416000, bestHPWL: 14327.5
T: 671714200, bestHPWL: 14327.5
T: 670305000, bestHPWL: 14261.5
T: 664697700, bestHPWL: 14261.5
T: 661117800, bestHPWL: 14261.5
T: 658807800, bestHPWL: 14261.5
T: 642476600, bestHPWL: 14261.5
T: 641449400, bestHPWL: 14247.5
T: 636147100, bestHPWL: 14247.5
T: 626863600, bestHPWL: 14239.5
T: 624485900, bestHPWL: 14239.5
T: 616049900, bestHPWL: 14235.5
T: 610224800, bestHPWL: 14225.5
T: 598260500, bestHPWL: 14214.5
T: 597662500, bestHPWL: 14214.5
T: 597065100, bestHPWL: 14214.5
T: 596468300, bestHPWL: 14214.5
T: 586941500, bestHPWL: 14214.5
T: 575031000, bestHPWL: 14160.5
T: 573652500, bestHPWL: 14160.5
T: 573079100, bestHPWL: 14141
T: 564151500, bestHPWL: 14135
T: 562742800, bestHPWL: 14135
T: 560888700, bestHPWL: 14130
T: 552924600, bestHPWL: 14114
T: 550331800, bestHPWL: 14085
T: 535510100, bestHPWL: 14081
T: 530393500, bestHPWL: 14050
T: 525168200, bestHPWL: 14050
T: 517349000, bestHPWL: 13968
