====================== Running testcase 1 ======================
rm -f legalizer
g++ -std=c++17 -O3 -Wall -Wextra main.cpp -o legalizer
./legalizer ./input/testcase1/architecture.txt ./input/testcase1/instance.txt ./input/testcase1/netlist.txt ./output/output1.txt
T: 180521000, bestHPWL: 13086
T: 180448800, bestHPWL: 13086
T: 180250400, bestHPWL: 13086
T: 179800300, bestHPWL: 13086
T: 178688900, bestHPWL: 13086
T: 177531100, bestHPWL: 13086
T: 175694200, bestHPWL: 13054
T: 175325600, bestHPWL: 13054
T: 171613200, bestHPWL: 13054
T: 170859700, bestHPWL: 13054
T: 168534700, bestHPWL: 13054
T: 167811500, bestHPWL: 13054
T: 165693600, bestHPWL: 13054
T: 154043400, bestHPWL: 13018
T: 151174200, bestHPWL: 13018
T: 151053300, bestHPWL: 13018
T: 147559400, bestHPWL: 13008
T: 147235100, bestHPWL: 13008
T: 146808700, bestHPWL: 13008
T: 146500700, bestHPWL: 13008
T: 146471400, bestHPWL: 13008
T: 145988800, bestHPWL: 13008
T: 143198000, bestHPWL: 13008
T: 143112100, bestHPWL: 13008
T: 140446500, bestHPWL: 12980
T: 136540900, bestHPWL: 12946
T: 135195700, bestHPWL: 12946
T: 135114600, bestHPWL: 12946
T: 134723300, bestHPWL: 12946
T: 134454100, bestHPWL: 12946
T: 134319700, bestHPWL: 12946
T: 134158600, bestHPWL: 12946
T: 128923500, bestHPWL: 12946
T: 127998500, bestHPWL: 12946
T: 127985700, bestHPWL: 12946
T: 127143700, bestHPWL: 12946
T: 123781200, bestHPWL: 12939
T: 123089900, bestHPWL: 12935
T: 122745700, bestHPWL: 12935
T: 122659800, bestHPWL: 12935
T: 119392000, bestHPWL: 12935
T: 116315900, bestHPWL: 12899
T: 116234500, bestHPWL: 12899
T: 115701000, bestHPWL: 12899
T: 115135400, bestHPWL: 12899
T: 114652800, bestHPWL: 12899
T: 114366500, bestHPWL: 12899
T: 112821500, bestHPWL: 12899
T: 112348600, bestHPWL: 12899
T: 107372300, bestHPWL: 12877
T: 103461400, bestHPWL: 12815
T: 101737600, bestHPWL: 12815
T: 101493700, bestHPWL: 12815
T: 101169400, bestHPWL: 12815
T: 100815900, bestHPWL: 12815
T: 100765500, bestHPWL: 12815
T: 100413400, bestHPWL: 12815
T: 100363200, bestHPWL: 12815
T: 100012500, bestHPWL: 12815
T: 99962500, bestHPWL: 12815
T: 99613200, bestHPWL: 12815
T: 99563400, bestHPWL: 12815
T: 99215500, bestHPWL: 12799
T: 99165900, bestHPWL: 12799
T: 98819400, bestHPWL: 12799
T: 98770000, bestHPWL: 12799
T: 98631800, bestHPWL: 12799
T: 98385500, bestHPWL: 12799
T: 97650300, bestHPWL: 12799
T: 97572200, bestHPWL: 12799
T: 95553900, bestHPWL: 12779
T: 91724200, bestHPWL: 12763
T: 90902300, bestHPWL: 12763
T: 90829600, bestHPWL: 12763
T: 90412700, bestHPWL: 12763
T: 90367500, bestHPWL: 12763
T: 88710900, bestHPWL: 12763
T: 87749100, bestHPWL: 12763
T: 87171800, bestHPWL: 12763
T: 85445500, bestHPWL: 12749.5
T: 85036300, bestHPWL: 12749.5
T: 84468400, bestHPWL: 12749.5
T: 83686400, bestHPWL: 12712.5
T: 82605400, bestHPWL: 12695.5
T: 81497600, bestHPWL: 12695.5
T: 80573700, bestHPWL: 12695.5
T: 79517000, bestHPWL: 12695.5
T: 79072900, bestHPWL: 12695.5
T: 77918900, bestHPWL: 12695.5
T: 77553500, bestHPWL: 12695.5
T: 77352100, bestHPWL: 12695.5
T: 76797100, bestHPWL: 12695.5
T: 75540200, bestHPWL: 12695.5
T: 74333600, bestHPWL: 12693.5
T: 72541600, bestHPWL: 12681.5
T: 71676200, bestHPWL: 12681.5
T: 67840000, bestHPWL: 12656.5
T: 67413900, bestHPWL: 12656.5
T: 67164900, bestHPWL: 12656.5
T: 66783100, bestHPWL: 12656.5
T: 66703000, bestHPWL: 12656.5
T: 66012800, bestHPWL: 12656.5
T: 65973200, bestHPWL: 12656.5
T: 65874300, bestHPWL: 12656.5
T: 65709800, bestHPWL: 12656.5
T: 65532600, bestHPWL: 12656.5
T: 65062400, bestHPWL: 12656.5
T: 63455800, bestHPWL: 12656.5
T: 62994200, bestHPWL: 12656.5
T: 62987900, bestHPWL: 12656.5
T: 61574000, bestHPWL: 12636.5
T: 61077200, bestHPWL: 12618.5
T: 60906400, bestHPWL: 12611.5
T: 59384600, bestHPWL: 12611.5
T: 58999800, bestHPWL: 12611.5
T: 58993900, bestHPWL: 12611.5
T: 58988000, bestHPWL: 12611.5
T: 58342600, bestHPWL: 12611.5
T: 58307600, bestHPWL: 12611.5
