if (same > 1000000 and deltaCost < 50.0 and rand() % 10 == 0)

====================== Running testcase 1 ======================
rm -f legalizer
g++ -std=c++17 -O3 -Wall -Wextra main.cpp -o legalizer
./legalizer ./input/testcase1/architecture.txt ./input/testcase1/instance.txt ./input/testcase1/netlist.txt ./output/output1.txt
originWL: 12036, bestHPWL: 12036
originWL: 12036, bestHPWL: 12036
originWL: 12036, bestHPWL: 12036
originWL: 12036, bestHPWL: 12036
originWL: 12036, bestHPWL: 12036
originWL: 12027, bestHPWL: 12027
originWL: 12011, bestHPWL: 12011
originWL: 12011, bestHPWL: 12011
originWL: 11980, bestHPWL: 11980
originWL: 11980, bestHPWL: 11980
originWL: 11980, bestHPWL: 11980
originWL: 11980, bestHPWL: 11980
originWL: 11980, bestHPWL: 11980
originWL: 11980, bestHPWL: 11980
originWL: 11980, bestHPWL: 11980
originWL: 11950, bestHPWL: 11950
originWL: 11950, bestHPWL: 11950
originWL: 11930, bestHPWL: 11930
originWL: 11930, bestHPWL: 11930
originWL: 11930, bestHPWL: 11930
originWL: 11924, bestHPWL: 11924
originWL: 11924, bestHPWL: 11924
originWL: 11924, bestHPWL: 11924
originWL: 11924, bestHPWL: 11924
originWL: 11924, bestHPWL: 11924
originWL: 11924, bestHPWL: 11924
originWL: 11917, bestHPWL: 11917
originWL: 11917, bestHPWL: 11917
originWL: 11917, bestHPWL: 11917
originWL: 11917, bestHPWL: 11917
originWL: 11917, bestHPWL: 11917
originWL: 11917, bestHPWL: 11917
originWL: 11917, bestHPWL: 11917
originWL: 11917, bestHPWL: 11917
originWL: 11917, bestHPWL: 11917
originWL: 11917, bestHPWL: 11917
originWL: 11915, bestHPWL: 11915
originWL: 11915, bestHPWL: 11915
originWL: 11915, bestHPWL: 11915
originWL: 11904, bestHPWL: 11904
originWL: 11904, bestHPWL: 11904
originWL: 11897, bestHPWL: 11897
originWL: 11862, bestHPWL: 11862
originWL: 11862, bestHPWL: 11862
originWL: 11861, bestHPWL: 11861
originWL: 11861, bestHPWL: 11861
originWL: 11861, bestHPWL: 11861
originWL: 11854, bestHPWL: 11854
originWL: 11854, bestHPWL: 11854
originWL: 11854, bestHPWL: 11854
originWL: 11854, bestHPWL: 11854
originWL: 11854, bestHPWL: 11854
originWL: 11854, bestHPWL: 11854
originWL: 11854, bestHPWL: 11854
originWL: 11854, bestHPWL: 11854
originWL: 11854, bestHPWL: 11854
originWL: 11854, bestHPWL: 11854
originWL: 11854, bestHPWL: 11854
originWL: 11852, bestHPWL: 11852
originWL: 11852, bestHPWL: 11852
originWL: 11852, bestHPWL: 11852
originWL: 11852, bestHPWL: 11852
originWL: 11852, bestHPWL: 11852
originWL: 11852, bestHPWL: 11852
originWL: 11852, bestHPWL: 11852
originWL: 11852, bestHPWL: 11852
originWL: 11852, bestHPWL: 11852
originWL: 11852, bestHPWL: 11852
originWL: 11852, bestHPWL: 11852
Try uphill !
originWL: 11884, bestHPWL: 11852
originWL: 11884, bestHPWL: 11852
originWL: 11884, bestHPWL: 11852
originWL: 11884, bestHPWL: 11852
originWL: 11884, bestHPWL: 11852
originWL: 11829, bestHPWL: 11829
originWL: 11829, bestHPWL: 11829
originWL: 11829, bestHPWL: 11829
originWL: 11829, bestHPWL: 11829
originWL: 11829, bestHPWL: 11829
originWL: 11821, bestHPWL: 11821
originWL: 11821, bestHPWL: 11821
originWL: 11821, bestHPWL: 11821
originWL: 11821, bestHPWL: 11821
originWL: 11821, bestHPWL: 11821
originWL: 11821, bestHPWL: 11821
originWL: 11821, bestHPWL: 11821
originWL: 11821, bestHPWL: 11821
originWL: 11821, bestHPWL: 11821
originWL: 11821, bestHPWL: 11821
originWL: 11821, bestHPWL: 11821
originWL: 11792, bestHPWL: 11792
originWL: 11783, bestHPWL: 11783
originWL: 11783, bestHPWL: 11783
originWL: 11783, bestHPWL: 11783
originWL: 11783, bestHPWL: 11783
originWL: 11783, bestHPWL: 11783
originWL: 11783, bestHPWL: 11783
originWL: 11783, bestHPWL: 11783
originWL: 11783, bestHPWL: 11783
originWL: 11783, bestHPWL: 11783
Try uphill !
originWL: 11783, bestHPWL: 11783
originWL: 11759, bestHPWL: 11759
originWL: 11759, bestHPWL: 11759
originWL: 11759, bestHPWL: 11759
originWL: 11759, bestHPWL: 11759
originWL: 11759, bestHPWL: 11759
originWL: 11759, bestHPWL: 11759
originWL: 11759, bestHPWL: 11759
originWL: 11759, bestHPWL: 11759
originWL: 11759, bestHPWL: 11759
originWL: 11759, bestHPWL: 11759
Try uphill !
originWL: 11767.5, bestHPWL: 11759
originWL: 11767.5, bestHPWL: 11759
originWL: 11767.5, bestHPWL: 11759
originWL: 11767.5, bestHPWL: 11759
originWL: 11767.5, bestHPWL: 11759
originWL: 11755, bestHPWL: 11755
originWL: 11755, bestHPWL: 11755
originWL: 11755, bestHPWL: 11755
originWL: 11755, bestHPWL: 11755
originWL: 11755, bestHPWL: 11755
originWL: 11755, bestHPWL: 11755
originWL: 11755, bestHPWL: 11755
originWL: 11755, bestHPWL: 11755
originWL: 11755, bestHPWL: 11755
originWL: 11755, bestHPWL: 11755
originWL: 11755, bestHPWL: 11755
originWL: 11755, bestHPWL: 11755
originWL: 11755, bestHPWL: 11755
originWL: 11755, bestHPWL: 11755
Try uphill !
originWL: 11745, bestHPWL: 11745
originWL: 11745, bestHPWL: 11745
originWL: 11745, bestHPWL: 11745
originWL: 11745, bestHPWL: 11745
originWL: 11745, bestHPWL: 11745
originWL: 11745, bestHPWL: 11745
originWL: 11745, bestHPWL: 11745
originWL: 11745, bestHPWL: 11745
originWL: 11745, bestHPWL: 11745
originWL: 11745, bestHPWL: 11745
originWL: 11745, bestHPWL: 11745
originWL: 11745, bestHPWL: 11745
originWL: 11745, bestHPWL: 11745
Try uphill !
originWL: 11762.5, bestHPWL: 11745
originWL: 11740, bestHPWL: 11740
originWL: 11740, bestHPWL: 11740
originWL: 11736, bestHPWL: 11736
originWL: 11736, bestHPWL: 11736
originWL: 11736, bestHPWL: 11736
originWL: 11736, bestHPWL: 11736
originWL: 11736, bestHPWL: 11736
originWL: 11736, bestHPWL: 11736
originWL: 11736, bestHPWL: 11736
originWL: 11736, bestHPWL: 11736
originWL: 11736, bestHPWL: 11736
originWL: 11736, bestHPWL: 11736
originWL: 11736, bestHPWL: 11736
originWL: 11736, bestHPWL: 11736
